CustomerName,FeedbackID,Product,FeedbackText,Sentiment,Rating,PurchaseDate,Location,CustomerEmail,OrderID
Robert Gonzalez,1620,Air Conditioner,Your leadership skills are exemplary.,positive,1,2022-05-24,Charleston,smithleslie@example.net,617595
Melissa Jones,1216,Slow Cooker,The house is painted a neutral beige.,neutral,3,2020-05-01,Shannonside,nelsonjoshua@example.net,500275
Patrick Blair,6448,Gaming Headset,The flowers are blooming.,neutral,2,2017-01-21,Allenport,ewilson@example.net,725538
Ryan Moreno,3774,Food Processor,The book has 300 pages.,neutral,4,2020-06-21,Kevinberg,ashleemeza@example.net,526381
Kimberly Garcia,2580,Air Purifier,The product malfunctioned after only a week of use,negative,2,2022-11-12,Brooksland,hooperdarrell@example.com,432460
Michelle Rodgers,8980,Portable Air Conditioner,The bill was inaccurate,negative,3,2017-09-05,Port Bernard,kellytaylor@example.com,437433
Melissa Powell,5625,Electric Shaver,I appreciate your willingness to go the extra mile.,positive,5,2016-11-09,Port Justin,navarroamanda@example.org,927382
Travis Banks,2189,Power Bank,The room was not clean upon arrival; there were stains on the carpet and hair in the bathroom.,negative,1,2017-06-19,Alexismouth,robbinsashley@example.org,948446
Charles Schultz,5042,Paint Sprayer,The birds are singing in the trees.,neutral,3,2017-08-13,Phillipsside,amber87@example.com,401585
Ricky Williams,3481,Electric Knife,Your dedication and hard work are clearly evident in the results.,positive,3,2018-03-23,Craigport,alyssacain@example.com,978826
Jennifer Moore,1504,Coffee Bean Roaster,Your willingness to go the extra mile is truly appreciated.,positive,2,2015-12-09,Yoderfort,kparker@example.com,754573
Rhonda Peterson,7318,Electric Grill Pan,The birds are singing in the trees.,neutral,4,2021-12-18,Port Joshua,guy84@example.net,553891
Timothy Rivera,6303,Air Conditioner,Gravity pulls objects towards the earth.,neutral,3,2023-06-24,North Kimberlyland,sblack@example.com,158261
Cindy Wallace,7777,Washing Machine,Cars have become increasingly fuel-efficient.,neutral,1,2016-05-06,Kennethshire,brodriguez@example.net,698975
Samuel Smith,2390,Smart Water Bottle,Your presentation was incredibly insightful and well-structured.,positive,4,2017-03-22,Elizabethburgh,clarkvictor@example.com,843098
Amanda Patel,5935,Fitness Tracker,The book contains 300 pages.,neutral,1,2022-02-12,New Elizabethstad,ralvarez@example.com,280405
Joshua Benton,5424,Fitness Tracker,Feedback,neutral,3,2020-04-21,Smithland,danielleweeks@example.com,565889
Valerie Davis,2426,Desk Lamp,The temperature is currently 72 degrees.,neutral,2,2018-02-07,South Caseyview,tiffanyanderson@example.net,776473
Marcus Webster,5025,Robot Vacuum,Computers process information digitally.,neutral,3,2023-01-22,East Karenfort,tracysimmons@example.org,499995
Jason Peters,8668,Heater,The cleanliness of the restaurant was questionable; the restrooms were particularly unsanitary.,negative,5,2023-07-26,Madisonton,angela05@example.net,655733
Mary Bradley,7127,Electric Pans,I was thoroughly impressed by your creative problem-solving skills.,positive,4,2020-03-10,Hutchinsonbury,qbryant@example.net,895987
Raven Harris,5266,Smart Plug,Rain fell throughout the night.,neutral,3,2020-07-07,Vanessaton,stricklanddavid@example.org,931597
Kevin Perez,3263,Smart Mirror,The clarity and precision of your writing is truly impressive.,positive,5,2023-10-08,Aliciaburgh,carl54@example.com,245385
Daniel Martinez,3868,Induction Cooktop,Your presentation was incredibly insightful and well-structured.,positive,5,2017-08-18,North Kevin,jason18@example.com,886774
Gregory Cunningham,8732,Induction Cooktop,The train arrived on time.,neutral,2,2016-06-23,Zacharyton,kevin95@example.net,774713
Antonio Andrews,7807,Home Security Camera,The quality of your craftsmanship is outstanding.,positive,2,2016-07-04,Lake Lindsayfort,smithjulie@example.org,701422
Shannon Garner,8731,LED Projector,Your dedication and hard work are truly commendable.,positive,1,2015-12-24,South Jill,theodore48@example.org,930555
Joshua Anthony,6135,Desk Lamp,I'm so impressed by your ability to adapt and learn quickly.,positive,1,2018-06-09,Tanyamouth,christopher18@example.net,686474
Michael White,9456,Electric Pans,The steak was overcooked and tough,negative,3,2016-04-04,Comptonmouth,megan65@example.com,501279
Justin Hanna,9843,Pressure Cooker,Cars are parked along the street.,neutral,4,2015-09-27,Bentonport,renee95@example.com,116188
Paul Ball,6013,Electric Heater,I'm consistently amazed by your problem-solving skills.,positive,3,2015-01-22,Lake Nancyberg,rebecca06@example.org,590476
Thomas Moss,3271,Slow Cooker,The staff were unhelpful and dismissive of our concerns.,negative,4,2022-08-14,Joannafurt,xwashington@example.net,225581
Aaron King,2725,Home Assistant,The building has twenty floors.,neutral,1,2023-10-16,East Nicholas,selliott@example.com,754375
Lisa Woods MD,5997,Wireless Charger,The report contained several charts.,neutral,4,2017-09-04,Jessehaven,steven81@example.net,921270
Daniel Austin,3445,Fitness Tracker,We experienced significant difficulty in getting the attention of any staff member.,negative,2,2018-02-22,New Amy,xavierwallace@example.com,967485
Louis Schaefer,3802,Smartwatch,The packaging was insufficient and resulted in product damage during transit.,negative,4,2017-07-22,East Brandontown,owilliams@example.com,940755
Kim Evans,2984,Smart Lock,You have a remarkable talent for problem-solving.,positive,5,2021-02-27,Wangview,angela24@example.com,977707
Christine Brock,8692,Smart Lock,The quality of your writing is superb.,positive,3,2018-08-23,South Pamelamouth,alexanderhines@example.com,843046
Natasha Edwards,1074,Cordless Drill,The quality of the materials used was substandard and disappointing.,negative,1,2017-10-18,West Lanceside,trodriguez@example.net,875546
Brandy Hammond,7777,Mini Fridge,The reservation system was confusing and difficult to navigate.,negative,3,2019-02-22,Timothyton,mcneilcharles@example.net,711855
Erik Davis,6000,Portable Blender,You have a fantastic ability to communicate your ideas clearly.,positive,5,2018-04-28,South Tanyatown,imoore@example.net,157435
Daniel Davis,4553,Electric Heater,The book is resting on the table.,neutral,2,2020-09-30,Hammondshire,amberhoward@example.org,562775
Donna Jones,8547,Blender,The music played softly in the background.,neutral,4,2023-03-23,Nelsonhaven,dawn21@example.org,927703
James Hunt,1878,E-Scooter,The train arrived on time.,neutral,3,2018-02-08,Robinsonberg,angelabennett@example.net,561550
Mitchell Alvarez,5390,Action Camera,The overall atmosphere was unpleasant; the restaurant was noisy and cramped.,negative,4,2015-12-02,West Amyborough,leblancrobert@example.org,176276
Patrick Irwin,3732,Smart Baby Monitor,The dedication you showed to this project is truly commendable.,positive,3,2015-03-04,Richardsborough,leslie46@example.org,672722
Ryan Cole,4266,Microwave Oven,The passion you bring to your work is infectious and inspiring.,positive,4,2016-03-29,North Jasmine,ljones@example.com,671040
Colleen Lopez,6473,Smart Thermostat,Birds build nests to lay eggs.,neutral,3,2017-11-20,West Davidville,mclarke@example.net,184695
Christine Michael,3887,Food Scale,The food was served on plates.,neutral,4,2022-12-28,South Tracyport,ymiller@example.com,496290
Tiffany Norris,2735,Keyboard,The plant needs to be watered regularly.,neutral,1,2020-05-30,Ruiztown,brianstrickland@example.org,776531
Brian Torres,5638,Slow Cooker,The item is significantly smaller than depicted in the online images.,negative,2,2015-04-08,Lake Anthony,kristen84@example.net,544639
Benjamin Cherry,3885,Portable Air Conditioner,We had to wait an unacceptable amount of time for the bill.,negative,4,2020-12-02,Estradaburgh,john09@example.com,417504
Brittany Hensley,5768,Electric Can Opener,The music played softly in the background.,neutral,2,2022-06-03,Danielsbury,whill@example.com,214488
Angela Young,6029,Ergonomic Chair,We will not be returning to this establishment and will not recommend it to others.,negative,3,2020-04-25,Jenniferburgh,dporter@example.org,285191
Mary Wood,4481,Outdoor Speaker,The cat sat on the mat.,neutral,2,2017-08-12,Lake Derrick,dylan59@example.com,641954
Bryan Nelson,1582,Smart Doorbell,Cats are known for their independent nature.,neutral,4,2018-06-23,Gallaghershire,debradavis@example.org,384298
Donald Schneider,1204,Home Assistant,The flower is red.,neutral,4,2016-03-20,Lorimouth,kkhan@example.org,475685
Kevin Moran,2056,Pressure Washer,Your positive attitude is infectious and inspiring.,positive,5,2015-02-07,New Heidi,bavila@example.net,617731
Michael Anderson,7494,Pressure Cooker,The warranty was virtually useless,negative,2,2019-04-11,Amyside,rebeccatorres@example.org,103200
Dawn Perry DDS,7501,Electric Skateboard,You've shown remarkable growth and improvement in your skills and abilities.,positive,5,2015-03-06,East Heatherbury,uhall@example.org,396134
Gregory Woods,2497,Food Scale,The advertised features were completely absent from the product I received.,negative,5,2016-01-15,Port Brittany,joyestrada@example.com,994904
Paula Calhoun,2694,Shaver,Your commitment to excellence is truly admirable.,positive,3,2019-12-21,South Heidistad,andrebrown@example.com,878605
Larry Lee,2364,Smart Watch for Kids,The sun is setting in the west.,neutral,1,2020-09-06,Joshuaton,thomashess@example.com,970070
